Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,5,2,28,5.40,0.000%,100.20040,92.47,23.68,945.0
TOTAL,100,5,2,28,5.40,0.000%,100.20040,92.47,23.68,945.0
