# Requests;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec
1000;2056;27;3203;934.25;0.000%;227.79043;210.22;53.83
1000;2056;27;3203;934.25;0.000%;227.79043;210.22;53.83
